fec.gov
title,Two Year Summary
description,2008 Other Committees Contributions
timestamp,Mon Mar 07 05:50:24 GMT 2016
copyright,"Copyright 2012, Federal Election Commission."
cand_id,P00003392
cand_nm,CLINTON, HILLARY RODHAM
"Contributor Name","Description","City","State","Zip","Receipt Date","Amount","Memo Code","Report Type","Report Year","Image Number","Transaction Code","Other Id","Candidate Id","Transaction PGI",
"ALICIA MYER FOR TWP COMM","PERMISSIBLE FUNDS","WESTHAMPTON","NJ","08060","06/30/2007","$1,000.00","","Q2","2007","http://docquery.fec.gov/cgi-bin/fecimg/?28935240927","","","","P",
"ALL AMERICA PAC","* IN-KIND: IN-KIND CONTRIBUTION","WASHINGTON","DC","20013","01/08/2008","$776.00","","M2","2008","http://docquery.fec.gov/cgi-bin/fecimg/?28990978625","15Z","C00344788","","P",
"ALL AMERICA PAC","","WASHINGTON","DC","20013","01/31/2008","$4,223.00","","M2","2008","http://docquery.fec.gov/cgi-bin/fecimg/?28990978625","18K","C00344788","","P",
"ALL AMERICA PAC","","WASHINGTON","DC","20013","01/31/2008","$5,000.00","","M2","2008","http://docquery.fec.gov/cgi-bin/fecimg/?28990978626","18K","C00344788","","G",
"ALSTON & BIRD PAC","","WASHINGTON","DC","20004","06/29/2007","$5,000.00","","Q2","2007","http://docquery.fec.gov/cgi-bin/fecimg/?28935240928","18K","C00395723","","P",
"ALZHEIMERS ACTION PAC","","WASHINGTON","DC","20035","03/31/2008","$1,000.00","","M4","2008","http://docquery.fec.gov/cgi-bin/fecimg/?28991181712","18K","C00430421","","P",
"AMALGAMATED TRANSIT","","WASHINGTON","DC","20016","12/17/2007","$5,000.00","","YE","2007","http://docquery.fec.gov/cgi-bin/fecimg/?28931912700","18K","C00032995","","P",
"AMERICA WORKS PAC","","WASHINGTON","DC","20013","07/14/2008","$5,000.00","","M8","2008","http://docquery.fec.gov/cgi-bin/fecimg/?13960789477","18K","C00331694","","P",
"AMERICA'S LEADERSHIP PAC","","WASHINGTON","DC","20005","01/31/2008","$5,000.00","","M2","2008","http://docquery.fec.gov/cgi-bin/fecimg/?28990978626","18K","C00375584","","P",
"AMERICA'S LEADERSHIP PAC","","WASHINGTON","DC","20005","01/31/2008","$5,000.00","","M2","2008","http://docquery.fec.gov/cgi-bin/fecimg/?28990978626","18K","C00375584","","G",
"AMERICAN DENTAL POLITICAL ACTION COMMITTEE","","WASHINGTON","DC","20005","08/13/2008","$5,000.00","","M9","2008","http://docquery.fec.gov/cgi-bin/fecimg/?28992893806","18K","C00000729","","P",
"AMERICAN FEDERATION OF TEACHERS COMMITTEE ON POLITICAL EDUCATION VOLUNTARY A/C","","WASHINGTON","DC","20001","12/31/2007","$5,000.00","","YE","2007","http://docquery.fec.gov/cgi-bin/fecimg/?28931912700","18K","C00028860","","G",
"AMERICAN FEDERATION OF TEACHERS COMMITTEE ON POLITICAL EDUCATION VOLUNTARY A/C","","WASHINGTON","DC","20001","12/31/2007","$5,000.00","","YE","2007","http://docquery.fec.gov/cgi-bin/fecimg/?28931912701","18K","C00028860","","P",
"AMERICAN FREEDOM POLITICAL ACTION","","ARLINGTON","VA","22201","09/25/2007","$1,000.00","","Q3","2007","http://docquery.fec.gov/cgi-bin/fecimg/?29932526310","18K","C00406009","","P",
"AMERICAN FREEDOM POLITICAL ACTION","","ARLINGTON","VA","22201","12/19/2007","$4,000.00","","YE","2007","http://docquery.fec.gov/cgi-bin/fecimg/?28931912701","18K","C00406009","","P",
"AMERICAN HEALTH CARE ASSOCIATION","","WASHINGTON","DC","20005","12/06/2007","$1,500.00","","YE","2007","http://docquery.fec.gov/cgi-bin/fecimg/?28931912701","18K","C00006080","","P",
"AMERICAN NURSES ASSOC. PAC","","SILVER SPRING","MD","20910","02/29/2008","$3,000.00","","M3","2008","http://docquery.fec.gov/cgi-bin/fecimg/?28931471915","18K","C00017525","","P",
"AMERICAN NURSES ASSOC. PAC","* IN-KIND: IN-KIND TRAVEL","SILVER SPRING","MD","20910","04/04/2008","$1,145.00","","M5","2008","http://docquery.fec.gov/cgi-bin/fecimg/?28991138855","18K","C00017525","","P",
"AMERICAN SOCIETY OF INTERVENTIONAL PAIN PAC","","PADUCAH","KY","42003","06/29/2007","$5,000.00","","Q2","2007","http://docquery.fec.gov/cgi-bin/fecimg/?28935240928","18K","C00351197","","P",
"AMO VOLUNTARY POLITICAL ACTION FUND","","DANIA BEACH","FL","33004","09/25/2007","$5,000.00","","Q3","2007","http://docquery.fec.gov/cgi-bin/fecimg/?29932526310","18K","C00027532","","G",
"AMO VOLUNTARY POLITICAL ACTION FUND","","DANIA BEACH","FL","33004","03/31/2007","$2,300.00","","Q1","2007","http://docquery.fec.gov/cgi-bin/fecimg/?27931555681","18K","C00027532","","P",
"ANDREWS FOR CONGRESS COMMITTEE","","OAKLYN","NJ","08107","06/25/2007","$2,000.00","","Q2","2007","http://docquery.fec.gov/cgi-bin/fecimg/?28935240928","18K","C00243428","H0NJ01066","G",
"ANDREWS FOR CONGRESS COMMITTEE","","OAKLYN","NJ","08107","06/29/2007","$2,000.00","","Q2","2007","http://docquery.fec.gov/cgi-bin/fecimg/?28935240929","18K","C00243428","H0NJ01066","P",
"ANHEUSER-BUSH POLITICAL ACTION COMMITTEE","","WASHINGTON","DC","20005","05/23/2007","$5,000.00","","Q2","2007","http://docquery.fec.gov/cgi-bin/fecimg/?28935240929","18K","C00034488","","P",
"ANNA ESHOO FOR CONGRESS","","SACRAMENTO","CA","95814","08/22/2008","$500.00","","M9","2008","http://docquery.fec.gov/cgi-bin/fecimg/?28992893806","18K","C00258475","H8CA12098","P",
"ANNA PEREZ CAMPAIGN","PERMISSIBLE FUNDS","EL PASO","TX","79936","02/22/2008","$500.00","","M3","2008","http://docquery.fec.gov/cgi-bin/fecimg/?28931471915","","","","P",
"ANTHONY PETRUCCELLI COMMITTEE","PERMISSIBLE FUNDS","EAST BOSTON","MA","02128","01/31/2008","$100.00","","M2","2008","http://docquery.fec.gov/cgi-bin/fecimg/?28990978627","","","","P",
"ANTICH/BADE PAC","PERMISSIBLE FUNDS","SAINT JOHN","IN","46373","12/31/2007","$1,000.00","","YE","2007","http://docquery.fec.gov/cgi-bin/fecimg/?28931912702","","","","P",
"ANTONINI FOR TREASURER","PERMISSIBLE FUNDS","YOUNGSTOWN","OH","44511","03/28/2008","$1,000.00","","M4","2008","http://docquery.fec.gov/cgi-bin/fecimg/?28991181713","","","","P",
"AQUA AMERICA, INC H2O PAC","","BRYN MAWR","PA","19010","12/21/2007","$1,000.00","","YE","2007","http://docquery.fec.gov/cgi-bin/fecimg/?28931912702","18K","C00340455","","P",
"ARAMARK POLITICAL ACTION COMMITTEE","","PHILADELPHIA","PA","19107","09/25/2007","$400.00","","Q3","2007","http://docquery.fec.gov/cgi-bin/fecimg/?29932526311","18K","C00157677","","P",
"ARAMARK POLITICAL ACTION COMMITTEE","","PHILADELPHIA","PA","19107","09/25/2007","$1,600.00","","Q3","2007","http://docquery.fec.gov/cgi-bin/fecimg/?29932526311","18K","C00157677","","P",
"ARCURI FOR CONGRESS","","UTICA","NY","13501","03/26/2007","$1,000.00","","Q1","2007","http://docquery.fec.gov/cgi-bin/fecimg/?27931555681","18K","C00418541","H6NY24128","P",
"ARDA ROC-PAC","","WASHINGTON","DC","20005","09/23/2008","$5,000.00","","M10","2008","http://docquery.fec.gov/cgi-bin/fecimg/?28933621646","18K","C00358663","","P",
"ARGON ST PAC","","FAIRFAX","VA","22033","04/25/2008","$1,000.00","","M5","2008","http://docquery.fec.gov/cgi-bin/fecimg/?28991138855","18K","C00395988","","P",
"ARNOLD & PORTER PARTNERS","","WASHINGTON","DC","20004","03/30/2007","$2,000.00","","Q1","2007","http://docquery.fec.gov/cgi-bin/fecimg/?27931555682","18K","C00216895","","P",
"ASBESTOS WORKERS POLITICAL ACTION","","LANHAM","MD","20706","09/23/2008","$2,500.00","","M10","2008","http://docquery.fec.gov/cgi-bin/fecimg/?28933621646","18K","C00115527","","P",
"ASIAN AMERICAN HOTEL OWNER ASSOC. PAC","","ALEXANDRIA","VA","22314","09/30/2007","$4,600.00","","Q3","2007","http://docquery.fec.gov/cgi-bin/fecimg/?29932526311","18K","C00336743","","P",
"B AND B FEDERAL PAC","","HARRISBURG","PA","17110","04/18/2008","$500.00","","M5","2008","http://docquery.fec.gov/cgi-bin/fecimg/?28991138856","18K","C00430090","","P",
"BADER FOR FREEHOLDER","PERMISSIBLE FUNDS","MOUNT LAUREL","NJ","08054","06/30/2007","$1,000.00","","Q2","2007","http://docquery.fec.gov/cgi-bin/fecimg/?28935240929","","","","P",
"BARCIA FOR CONGRESS","","BAY CITY","MI","48706","06/30/2007","$2,000.00","","Q2","2007","http://docquery.fec.gov/cgi-bin/fecimg/?28935240930","18K","C00269506","H2MI05051","P",
"BARRACK RODOS BACINE","","PHILADELPHIA","PA","19103","03/29/2007","$5,000.00","","Q1","2007","http://docquery.fec.gov/cgi-bin/fecimg/?27931555682","18K","C00258590","","P",
"BARRACK, REDOS AND BACINE PAC","","PHILADELPHIA","PA","19103","06/30/2007","$5,000.00","","Q2","2007","http://docquery.fec.gov/cgi-bin/fecimg/?28935240930","18K","C00258590","","G",
"BEA LANZI CAMPAIGN COMMITTEE","PERMISSIBLE FUNDS","CRANSTON","RI","02921","11/15/2007","$1,000.00","","YE","2007","http://docquery.fec.gov/cgi-bin/fecimg/?28931912702","","","","P",
"BEN LUJAN SPEAKER FUND","","SANTA FE","NM","87506","09/05/2008","$500.00","","M10","2008","http://docquery.fec.gov/cgi-bin/fecimg/?28933621646","15","","","P",
"BERGEN COUNTY YOUNG DEMOCRATS","PERMISSIBLE FUNDS","TEANECK","NJ","07666","02/29/2008","$1,000.00","","M3","2008","http://docquery.fec.gov/cgi-bin/fecimg/?28931471916","","","","P",
"BERGEN TOGETHER","","ENGLEWOOD CLIFFS","NJ","07632","12/28/2007","$2,300.00","","YE","2007","http://docquery.fec.gov/cgi-bin/fecimg/?28931912703","18K","C00441675","","P",
"BERGEN TOGETHER","","ENGLEWOOD CLIFFS","NJ","07632","12/28/2007","$2,300.00","","YE","2007","http://docquery.fec.gov/cgi-bin/fecimg/?28931912703","18K","C00441675","","G",
"BERKLEY FOR CONGRESS","","LAS VEGAS","NV","89121","07/18/2007","$1,700.00","","Q3","2007","http://docquery.fec.gov/cgi-bin/fecimg/?29932526312","18K","C00325738","H8NV01071","G",
"BERKLEY FOR CONGRESS","","LAS VEGAS","NV","89121","03/27/2007","$2,000.00","","Q1","2007","http://docquery.fec.gov/cgi-bin/fecimg/?27931555682","18K","C00325738","H8NV01071","P",
"BERKLEY FOR CONGRESS","","LAS VEGAS","NV","89121","03/27/2007","$300.00","","Q1","2007","http://docquery.fec.gov/cgi-bin/fecimg/?27931555683","18K","C00325738","H8NV01071","G",
"BEST PAC","","EL PASO","TX","79932","02/21/2008","$2,300.00","","M3","2008","http://docquery.fec.gov/cgi-bin/fecimg/?28931471916","18K","C00432724","","P",
"BETH ARTHUR FOR SHERIFF","PERMISSIBLE FUNDS","ARLINGTON","VA","22203","05/15/2008","$250.00","","M6","2008","http://docquery.fec.gov/cgi-bin/fecimg/?28932074705","","","","P",
"BETHPAGE P.A.C","","BETHPAGE","NY","11714","12/04/2007","$2,300.00","","YE","2007","http://docquery.fec.gov/cgi-bin/fecimg/?28931912703","18K","C00388942","","P",
"BILL STRAUS COMMITTEE","PERMISSIBLE FUNDS","MATTAPOISETT","MA","02739","12/12/2007","$1,000.00","","YE","2007","http://docquery.fec.gov/cgi-bin/fecimg/?28931912704","","","","P",
"BINGAMAN RE ELECTION CAMPAIGN","","ALBUQUERQUE","NM","87191","08/13/2008","$2,000.00","","M9","2008","http://docquery.fec.gov/cgi-bin/fecimg/?28992893807","18K","C00305110","S2NM00021","P",
"BINGHAM MCCUTCHEN LLP PAC","","WASHINGTON","DC","20007","03/27/2007","$2,300.00","","Q1","2007","http://docquery.fec.gov/cgi-bin/fecimg/?27931555683","18K","C00165621","","P",
"BINGHAM, MCCUTCHEN LLP PAC","","WASHINGTON","DC","20007","05/29/2007","$2,000.00","","Q2","2007","http://docquery.fec.gov/cgi-bin/fecimg/?28935240930","18K","C00165621","","P",
"BINGHAM, MCCUTCHEN LLP PAC","","WASHINGTON","DC","20007","10/04/2007","$700.00","","YE","2007","http://docquery.fec.gov/cgi-bin/fecimg/?28931912704","18K","C00165621","","P",
"BISHOP FOR CONGRESS","","FARMINGVILLE","NY","11738","05/29/2007","$2,000.00","","Q2","2007","http://docquery.fec.gov/cgi-bin/fecimg/?28935240931","18K","C00375618","H2NY01067","P",
"BISHOP FOR CONGRESS","","FARMINGVILLE","NY","11738","05/29/2007","$2,000.00","","Q2","2007","http://docquery.fec.gov/cgi-bin/fecimg/?28935240931","18K","C00375618","H2NY01067","G",
"BLAIR FOR COMMISSIONER COMMITTEE","PERMISSIBLE FUNDS","ELYRIA","OH","44035","03/28/2008","$500.00","","M4","2008","http://docquery.fec.gov/cgi-bin/fecimg/?28991181713","","","","P",
"BLUE PAC","","HARRISBURG","PA","17106","06/22/2007","$250.00","","Q2","2007","http://docquery.fec.gov/cgi-bin/fecimg/?28935240931","18K","C00270967","","P",
"BOB CASEY FOR SENATE, INC","","PHILADELPHIA","PA","19110","08/22/2008","$2,000.00","","M9","2008","http://docquery.fec.gov/cgi-bin/fecimg/?28992893807","18K","C00431056","S6PA00217","P",
"BOB GORDON FOR SENATE","PERMISSIBLE FUNDS","FAIR LAWN","NJ","07410","02/22/2008","$1,000.00","","M3","2008","http://docquery.fec.gov/cgi-bin/fecimg/?28931471916","","","","P",
"BOBBY FLORES CAMPAIGN ACCOUNT","REFUND NEXT PERIOD","MCALLEN","TX","78504","12/21/2007","$1,000.00","","YE","2007","http://docquery.fec.gov/cgi-bin/fecimg/?28931912704","","","","P",
"BOILERMAKERS-BLACKSMITHS LEGISLATIVE EDUCATION-ACTION PROGRAM","","KANSAS CITY","KS","66101","03/13/2007","$2,300.00","","Q1","2007","http://docquery.fec.gov/cgi-bin/fecimg/?27931555683","18K","C00005157","","P",
"BONNIE BROWN, CAMPAIGN","PERMISSIBLE FUNDS","SOUTH CHARLESTON","WV","25303","09/13/2007","$1,000.00","","Q3","2007","http://docquery.fec.gov/cgi-bin/fecimg/?29932526312","","","","P",
"BONNIE WATSON COLEMAN FOR ASSEMBLY","PERMISSIBLE FUNDS","TRENTON","NJ","08618","06/30/2007","$1,000.00","","Q2","2007","http://docquery.fec.gov/cgi-bin/fecimg/?28935240932","","","","P",
"BORDER HEALTH FEDERAL PAC","","PHARR","TX","78577","12/17/2007","$5,000.00","","YE","2007","http://docquery.fec.gov/cgi-bin/fecimg/?28931912705","18K","C00415752","","G",
"BORDER HEALTH FEDERAL PAC","","PHARR","TX","78577","03/29/2007","$5,000.00","","Q1","2007","http://docquery.fec.gov/cgi-bin/fecimg/?27931555684","18K","C00415752","","P",
"BORN FIGHTING PAC","","WASHINGTON","DC","20005","09/23/2008","$2,500.00","","M10","2008","http://docquery.fec.gov/cgi-bin/fecimg/?28933621647","18K","C00430819","","P",
"BRACKEN BURNS FOR COMMISSIONER COMMITTEE","PERMISSIBLE FUNDS","WASHINGTON","PA","15301","04/25/2008","$500.00","","M5","2008","http://docquery.fec.gov/cgi-bin/fecimg/?28991138856","","","","P",
"BRAMSON FOR MAYOR","PERMISSIBLE FUNDS","NEW ROCHELLE","NY","10804","09/25/2007","$100.00","","Q3","2007","http://docquery.fec.gov/cgi-bin/fecimg/?29932526312","","","","P",
"BRAXTON FOR SHERIFF","PERMISSIBLE FUNDS","MOUNT LAUREL","NJ","08054","06/30/2007","$1,000.00","","Q2","2007","http://docquery.fec.gov/cgi-bin/fecimg/?28935240932","","","","P",
"BRI-PAC","","BUFFALO","NY","14214","05/07/2008","$2,300.00","","M6","2008","http://docquery.fec.gov/cgi-bin/fecimg/?28932074705","18K","C00436493","","G",
"BRI-PAC","","BUFFALO","NY","14214","05/07/2008","$2,700.00","","M6","2008","http://docquery.fec.gov/cgi-bin/fecimg/?28932074706","18K","C00436493","","P",
"BRICKLAYERS AND ALLIED CRAFTWORKERS PAC","","WASHINGTON","DC","20004","07/31/2008","$400.00","","M8","2008","http://docquery.fec.gov/cgi-bin/fecimg/?13960789477","18K","C00003632","","P",
"BRICKLAYERS AND ALLIED CRAFTWORKERS PAC","","WASHINGTON","DC","20004","07/18/2007","$4,600.00","","Q3","2007","http://docquery.fec.gov/cgi-bin/fecimg/?29932526313","18K","C00003632","","P",
"BROTHERHOOD OF RAILROAD SIGNALMEN","","FRONT ROYAL","VA","22630","04/25/2008","$500.00","","M5","2008","http://docquery.fec.gov/cgi-bin/fecimg/?28991138856","18K","C00011262","","P",
"BROTHERHOOD OF RAILROAD SIGNALMEN","","FRONT ROYAL","VA","22630","03/21/2007","$1,000.00","","Q1","2007","http://docquery.fec.gov/cgi-bin/fecimg/?27931555684","18K","C00011262","","P",
"BRYAN CAVE LLP POLITICAL FUND","","WASHINGTON","DC","20005","02/28/2007","$2,300.00","","Q1","2007","http://docquery.fec.gov/cgi-bin/fecimg/?27931555684","18K","C00332643","","P",
"BUILDING A MAJORITY PAC","","BALTIMORE","MD","21203","06/30/2007","$5,000.00","","Q2","2007","http://docquery.fec.gov/cgi-bin/fecimg/?28935240932","18K","C00412221","","P",
"BUZZI UNICEM USA INC","","BETHLEHEM","PA","18017","11/08/2007","$1,000.00","","YE","2007","http://docquery.fec.gov/cgi-bin/fecimg/?28931912705","18K","C00281675","","P",
"CABLEVISION SYSTEMS CORP. PAC","","BETHPAGE","NY","11714","06/30/2007","$5,000.00","","Q2","2007","http://docquery.fec.gov/cgi-bin/fecimg/?28935240933","18K","C00197863","","P",
"CALABRESE FOR FREEHOLDER","PERMISSIBLE FUNDS","HACKENSACK","NJ","07601","03/18/2008","$1,000.00","","M4","2008","http://docquery.fec.gov/cgi-bin/fecimg/?28991181713","","","","P",
"CAM KERRY COMMITTEE","","ARLINGTON","VA","22203","07/31/2008","$1,000.00","","M8","2008","http://docquery.fec.gov/cgi-bin/fecimg/?13960789477","15","","","P",
"CANTWELL 2012","","VANCOUVER","WA","98666","02/22/2008","$2,000.00","","M3","2008","http://docquery.fec.gov/cgi-bin/fecimg/?28931471917","18K","C00349506","S8WA00194","P",
"CAP PAC","","WASHINGTON","DC","20003","05/29/2007","$2,000.00","","Q2","2007","http://docquery.fec.gov/cgi-bin/fecimg/?28935240933","18K","C00388959","","P",
"CAP-MPT","","LOS ANGELES","CA","90071","09/10/2007","$1,000.00","","Q3","2007","http://docquery.fec.gov/cgi-bin/fecimg/?29932526313","18K","C00161604","","P",
"CARDENAS FOR CONGRESS","","CHICAGO","IL","60623","03/10/2008","$2,000.00","","M4","2008","http://docquery.fec.gov/cgi-bin/fecimg/?28991181714","18K","C00436618","H8IL04092","P",
"CARDINAL HEALTH INC POLITICAL ACTION COMMITTEE","","DUBLIN","OH","43017","10/29/2008","$2,500.00","","M11","2008","http://docquery.fec.gov/cgi-bin/fecimg/?28993139488","18K","C00332833","","P",
"CARLOS I URESTI CAMPAIGN FUND","PERMISSIBLE FUNDS","SAN ANTONIO","TX","78221","09/30/2007","$1,000.00","","Q3","2007","http://docquery.fec.gov/cgi-bin/fecimg/?29932526313","","","","P",
"CAROL ALVARADO CAMPAIGN","PERMISSIBLE FUNDS","HOUSTON","TX","77012","06/30/2007","$1,300.00","","Q2","2007","http://docquery.fec.gov/cgi-bin/fecimg/?28935240933","","","","G",
"CAROL ALVARADO CAMPAIGN","PERMISSIBLE FUNDS","HOUSTON","TX","77012","06/30/2007","$1,000.00","","Q2","2007","http://docquery.fec.gov/cgi-bin/fecimg/?28935240934","","","","P",
"CAROLYN'S PAC","","NEW YORK","NY","10128","02/28/2008","$1,000.00","","M3","2008","http://docquery.fec.gov/cgi-bin/fecimg/?28931471917","18K","C00341990","","P",
"CAROLYN'S PAC","","NEW YORK","NY","10128","04/16/2008","$700.00","","M5","2008","http://docquery.fec.gov/cgi-bin/fecimg/?28991138857","18K","C00341990","","G",
"CAROLYN'S PAC","","NEW YORK","NY","10128","04/16/2008","$300.00","","M5","2008","http://docquery.fec.gov/cgi-bin/fecimg/?28991138857","18K","C00341990","","P",
"CAROLYN'S PAC","","NEW YORK","NY","10128","05/15/2008","$1,000.00","","M6","2008","http://docquery.fec.gov/cgi-bin/fecimg/?28932074706","18K","C00341990","","G",
"CAROLYN'S PAC","","NEW YORK","NY","10128","05/23/2008","$500.00","","M6","2008","http://docquery.fec.gov/cgi-bin/fecimg/?28932074706","18K","C00341990","","G",
"CAROLYN'S PAC","","NEW YORK","NY","10128","12/24/2007","$1,000.00","","YE","2007","http://docquery.fec.gov/cgi-bin/fecimg/?28931912705","18K","C00341990","","P",
"CARPER FOR SENATE","","WILMINGTON","DE","19805","08/22/2008","$2,000.00","","M9","2008","http://docquery.fec.gov/cgi-bin/fecimg/?28992893807","18K","C00349217","S8DE00079","P",
"CELANESE CORPORATION POLITICAL ACTION COMMITTEE","","DALLAS","TX","75234","05/22/2008","$5,000.00","","M6","2008","http://docquery.fec.gov/cgi-bin/fecimg/?28932074707","18K","C00084871","","P",
"CH2M HILL COMPANIES LTD. PAC","","ENGLEWOOD","CO","80112","03/31/2007","$4,600.00","","Q1","2007","http://docquery.fec.gov/cgi-bin/fecimg/?27931555685","18K","C00143305","","P",
"CHESAPEAKE ENERGY CORP FED-PAC","","OKALOMA CITY","OK","73154","06/30/2007","$2,300.00","","Q2","2007","http://docquery.fec.gov/cgi-bin/fecimg/?28935240934","18K","C00389288","","P",
"CHESAPEAKE ENERGY CORP PAC","","OKLAHOMA CITY","OK","73154","09/30/2007","$1,000.00","","Q3","2007","http://docquery.fec.gov/cgi-bin/fecimg/?29932526314","18K","C00389288","","P",
"CHRISTINE SALTZBERG FOR ASSEMBLY","","ROCHESTER","NY","14624","07/01/2008","$250.00","","M8","2008","http://docquery.fec.gov/cgi-bin/fecimg/?13960789478","15","","","P",
"CINCINNATI BELL INC, FEDERAL POLITICAL ACTION COMMITTEE","","CINCINNATI","OH","45201","09/18/2007","$2,300.00","","Q3","2007","http://docquery.fec.gov/cgi-bin/fecimg/?29932526314","18K","C00087478","","P",
"CITIZENS FINANCIAL GROUP INC POLIT","","PROVIDENCE","RI","02903","03/31/2007","$2,500.00","","Q1","2007","http://docquery.fec.gov/cgi-bin/fecimg/?27931555685","18K","C00307249","","P",
"CITIZENS FINANCIAL GROUP, INC POLITICAL COMMITTEE","","PROVIDENCE","RI","02903","09/13/2007","$2,500.00","","Q3","2007","http://docquery.fec.gov/cgi-bin/fecimg/?29932526314","18K","C00307249","","P",
"CITIZENS FINANCIAL GROUP, INC POLITICAL COMMITTEE","","PROVIDENCE","RI","02903","09/30/2007","$2,000.00","","Q3","2007","http://docquery.fec.gov/cgi-bin/fecimg/?29932526315","18K","C00307249","","G",
