fec.gov
title,Two Year Summary
description,2016 Other Committees Contributions
timestamp,Mon Mar 07 05:41:55 GMT 2016
copyright,"Copyright 2012, Federal Election Commission."
cand_id,P00003392
cand_nm,CLINTON, HILLARY RODHAM
"Contributor Name","Description","City","State","Zip","Receipt Date","Amount","Memo Code","Report Type","Report Year","Image Number","Transaction Code","Other Id","Candidate Id","Transaction PGI",
"BARON HILL FOR INDIANA","","INDIANAPOLIS","IN","46230","06/30/2015","$2,000.00","","Q2","2015","http://docquery.fec.gov/cgi-bin/fecimg/?201509039001611911","18K","C00578880","S0IN00061","P",
"BARRACK, RODOS & BACINE POLITICAL ACTION COMMITTEE","","PHILADELPHIA","PA","19119","10/22/2015","$2,700.00","","YE","2015","http://docquery.fec.gov/cgi-bin/fecimg/?201601319005270776","18K","C00258590","","P",
"BEST IN GOVERNMENT POLITICAL ACTION COMMITTEE","","MONTGOMERY","AL","36125","12/08/2015","$2,000.00","","YE","2015","http://docquery.fec.gov/cgi-bin/fecimg/?201601319005270807","18K","C00395541","","P",
"BILL MONNING FOR SENATE 2016","FEDERALLY PERMISSIBLE FUNDS","SALINAS","CA","93901","11/12/2015","$1,000.00","","YE","2015","http://docquery.fec.gov/cgi-bin/fecimg/?201601319005270790","","","","P",
"BILL OWENS FOR CONGRESS","","PLATTSBURGH","NY","12901","10/07/2015","$2,000.00","","YE","2015","http://docquery.fec.gov/cgi-bin/fecimg/?201601319005270776","18K","C00464495","H0NY23081","P",
"BILL OWENS FOR CONGRESS","","PLATTSBURGH","NY","12901","10/07/2015","$500.00","","YE","2015","http://docquery.fec.gov/cgi-bin/fecimg/?201601319005270800","18K","C00464495","H0NY23081","P",
"BILL SLATON FOR SMUD BOARD 2014","FEDERALLY PERMISSIBLE FUNDS","CARMICHAEL","CA","95608","09/30/2015","$1,000.00","","Q3","2015","http://docquery.fec.gov/cgi-bin/fecimg/?201512149004200118","","","","P",
"BOB BRADY FOR CONGRESS","","PHILADELPHIA","PA","19154","06/29/2015","$2,000.00","","Q2","2015","http://docquery.fec.gov/cgi-bin/fecimg/?201509039001611893","18K","C00333740","H8PA01153","G",
"BOB BRADY FOR CONGRESS","REFUNDED $1,000 ON 7/8/15","PHILADELPHIA","PA","19154","06/29/2015","$3,000.00","","Q2","2015","http://docquery.fec.gov/cgi-bin/fecimg/?201509039001611923","18K","C00333740","H8PA01153","P",
"BOB BURNS FOR STATE REP COMM","FEDERALLY PERMISSIBLE FUNDS","SAINT LOUIS","MO","63123","07/06/2015","$1,000.00","","Q3","2015","http://docquery.fec.gov/cgi-bin/fecimg/?201512149004200076","","","","P",
"BOB CASEY FOR SENATE","","PHILADELPHIA","PA","19102","08/03/2015","$2,000.00","","Q3","2015","http://docquery.fec.gov/cgi-bin/fecimg/?201512149004200087","18K","C00431056","S6PA00217","P",
"BOB ETHERIDGE FOR CONGRESS COMMITTEE","","RALEIGH","NC","27611","07/27/2015","$2,000.00","","Q3","2015","http://docquery.fec.gov/cgi-bin/fecimg/?201512149004200099","18K","C00311555","H6NC02080","P",
"BOB GORDAN FOR SENATE","FEDERALLY PERMISSIBLE FUNDS","FAIR LAWN","NJ","07410","06/30/2015","$1,000.00","","Q2","2015","http://docquery.fec.gov/cgi-bin/fecimg/?201509039001611909","","","","P",
"BOBBY MOAK CAMPAIGN","FEDERALLY PERMISSIBLE FUNDS","BOGUE CHITTO","MS","39629","07/14/2015","$1,000.00","","Q3","2015","http://docquery.fec.gov/cgi-bin/fecimg/?201512149004200101","","","","P",
"BORDER HEALTH FEDERAL PAC","","MCALLEN","TX","78504","06/30/2015","$5,000.00","","Q2","2015","http://docquery.fec.gov/cgi-bin/fecimg/?201509039001611929","18K","C00415752","","P",
"BRIAN HIGGINS FOR CONGRESS","","BUFFALO","NY","14220","11/13/2015","$1,800.00","","YE","2015","http://docquery.fec.gov/cgi-bin/fecimg/?201601319005270779","18K","C00401034","H4NY27076","P",
"BRIAN HIGGINS FOR CONGRESS","","BUFFALO","NY","14220","05/20/2015","$200.00","","Q2","2015","http://docquery.fec.gov/cgi-bin/fecimg/?201509039001611892","18K","C00401034","H4NY27076","P",
"BUCKS VICTORY","FEDERALLY PERMISSIBLE FUNDS","LANGHORNE","PA","19047","05/27/2015","$1,000.00","","Q2","2015","http://docquery.fec.gov/cgi-bin/fecimg/?201509039001611928","","","","P",
"CAMPAIGN ACCOUNT OF DWIGHT BOYKIN","FEDERALLY PERMISSIBLE FUNDS","HOUSTON","TX","77007","10/19/2015","$1,000.00","","YE","2015","http://docquery.fec.gov/cgi-bin/fecimg/?201601319005270799","","","","P",
"CANDELARIA FOR SENATE","FEDERALLY PERMISSIBLE FUNDS","ALBUQUERQUE","NM","87120","01/13/2016","$500.00","","M2","2016","http://docquery.fec.gov/cgi-bin/fecimg/?201602209008569190","","","","P",
"CAPA21-FEDERAL","","SACRAMENTO","CA","95841","11/17/2015","$1,000.00","","YE","2015","http://docquery.fec.gov/cgi-bin/fecimg/?201601319005270785","18K","C00564690","","P",
"CAPITAL COUNTY PAC","","TRENTON","NJ","08608","10/05/2015","$2,700.00","","YE","2015","http://docquery.fec.gov/cgi-bin/fecimg/?201601319005270805","18K","C00454132","","P",
"CAPITAL COUNTY PAC","","TRENTON","NJ","08608","06/30/2015","$2,700.00","","Q2","2015","http://docquery.fec.gov/cgi-bin/fecimg/?201509039001611932","18K","C00454132","","P",
"CARGAS FOR CONGRESS","","HOUSTON","TX","77006","01/21/2016","$1,000.00","","M2","2016","http://docquery.fec.gov/cgi-bin/fecimg/?201602209008569193","18K","C00509299","H2TX07036","P",
"CARNEY FOR OHIO","FEDERALLY PERMISSIBLE FUNDS","COLUMBUS","OH","43214","09/15/2015","$1,000.00","","Q3","2015","http://docquery.fec.gov/cgi-bin/fecimg/?201512149004200084","","","","P",
"CARTWRIGHT FOR CONGRESS","","SCRANTON","PA","18501","08/18/2015","$1,000.00","","Q3","2015","http://docquery.fec.gov/cgi-bin/fecimg/?201512149004200103","18K","C00509968","H2PA17079","P",
"CASTRO FOR CONGRESS","","SAN ANTONIO","TX","78292","05/05/2015","$2,000.00","","Q2","2015","http://docquery.fec.gov/cgi-bin/fecimg/?201509039001611899","18K","C00497933","H2TX35011","P",
"CENTURYLINK INC. EMPLOYEES PAC","","WASHINGTON","DC","20001","09/24/2015","$2,700.00","","Q3","2015","http://docquery.fec.gov/cgi-bin/fecimg/?201512149004200095","18K","C00419911","","P",
"CHARLIE HALES FOR MAYOR","FEDERALLY PERMISSIBLE FUNDS","PORTLAND","OR","97238","09/30/2015","$1,000.00","","Q3","2015","http://docquery.fec.gov/cgi-bin/fecimg/?201512149004200101","","","","P",
"CHIPPEWA COUNTY DEMOCRATIC PARTY","FEDERALLY PERMISSIBLE FUNDS","CHIPPEWA FALLS","WI","54729","06/03/2015","$97.00","","Q2","2015","http://docquery.fec.gov/cgi-bin/fecimg/?201509039001611912","","","","P",
"CHROMALLOY GAS TURBINE CORPORATION POLITICAL ACTION COMMITTEE","","ORANGEBURG","NY","10962","06/29/2015","$5,000.00","","Q2","2015","http://docquery.fec.gov/cgi-bin/fecimg/?201509039001611922","18K","C00235911","","P",
"CINCINNATUS PAC","","CINCINNATI","OH","45202","04/16/2015","$500.00","","Q2","2015","http://docquery.fec.gov/cgi-bin/fecimg/?201509039001611904","18K","C00574228","","P",
"CINCINNATUS PAC","","CINCINNATI","OH","45202","05/29/2015","$2,200.00","","Q2","2015","http://docquery.fec.gov/cgi-bin/fecimg/?201509039001611918","18K","C00574228","","P",
"CITIZENS FOR A GREATER READING","","READING","PA","19604","05/05/2015","$1,000.00","","Q2","2015","http://docquery.fec.gov/cgi-bin/fecimg/?201509039001611923","","","","P",
"CITIZENS FOR JOHN YUDICHAK","FEDERALLY PERMISSIBLE FUNDS","KINGSTON","PA","18704","12/08/2015","$1,000.00","","YE","2015","http://docquery.fec.gov/cgi-bin/fecimg/?201601319005270787","","","","P",
"CITIZENS FOR SCHIMMINGER","FEDERALLY PERMISSIBLE FUNDS","TONAWANDA","NY","14151","11/13/2015","$1,000.00","","YE","2015","http://docquery.fec.gov/cgi-bin/fecimg/?201601319005270761","","","","P",
"CITIZENS FOR SHORT","FEDERALLY PERMISSIBLE FUNDS","INDIANAPOLIS","IN","46244","07/23/2015","$1,000.00","","Q3","2015","http://docquery.fec.gov/cgi-bin/fecimg/?201512149004200090","","","","P",
"CITIZENS FOR STEVE STENGER","FEDERALLY PERMISSIBLE FUNDS","SAINT LOUIS","MO","63117","07/09/2015","$1,000.00","","Q3","2015","http://docquery.fec.gov/cgi-bin/fecimg/?201512149004200121","","","","P",
"CITIZENS FOR TOM LOUGHRAN","FEDERALLY PERMISSIBLE FUNDS","BUFFALO","NY","14226","11/13/2015","$1,000.00","","YE","2015","http://docquery.fec.gov/cgi-bin/fecimg/?201601319005270795","","","","P",
"CITIZENS TO ELECT RICK LARSEN","","EVERETT","WA","98206","06/29/2015","$2,000.00","","Q2","2015","http://docquery.fec.gov/cgi-bin/fecimg/?201509039001611903","18K","C00345546","H0WA02080","P",
"COLBERT-BUSCH FOR CONGRESS","","MOUNT PLEASANT","SC","29464","06/19/2015","$2,000.00","","Q2","2015","http://docquery.fec.gov/cgi-bin/fecimg/?201509039001611908","18K","C00541243","H4SC01172","P",
"COMMERCE BANCSHARES, INC. PAC","","KANSAS CITY","MO","64141","06/30/2015","$2,700.00","","Q2","2015","http://docquery.fec.gov/cgi-bin/fecimg/?201509039001611928","18K","C00072967","","P",
"COMMITTEE FOR KANTROWITZ","FEDERALLY PERMISSIBLE FUNDS","NEW CITY","NY","10956","12/14/2015","$1,000.00","","YE","2015","http://docquery.fec.gov/cgi-bin/fecimg/?201601319005270782","","","","P",
"COMMITTEE TO ELECT BRIAN EGOLF","","SANTA FE","NM","87504","10/09/2015","$250.00","","YE","2015","http://docquery.fec.gov/cgi-bin/fecimg/?201601319005270773","","","","P",
"COMMITTEE TO ELECT D'APOLITO JUDGE","FEDERALLY PERMISSIBLE FUNDS","YOUNGSTOWN","OH","44512","11/30/2015","$500.00","","YE","2015","http://docquery.fec.gov/cgi-bin/fecimg/?201601319005270766","","","","P",
"COMMITTEE TO ELECT DAN GRANT","","AUSTIN","TX","78768","09/30/2015","$1,300.00","","Q3","2015","http://docquery.fec.gov/cgi-bin/fecimg/?201512149004200083","18K","C00504795","H8TX10060","G",
"COMMITTEE TO ELECT DAN GRANT","","AUSTIN","TX","78768","08/17/2015","$700.00","","Q3","2015","http://docquery.fec.gov/cgi-bin/fecimg/?201512149004200097","18K","C00504795","H8TX10060","G",
"COMMITTEE TO ELECT DAN GRANT","","AUSTIN","TX","78768","08/17/2015","$2,000.00","","Q3","2015","http://docquery.fec.gov/cgi-bin/fecimg/?201512149004200101","18K","C00504795","H8TX10060","P",
"COMMITTEE TO ELECT DITZLER","FEDERALLY PERMISSIBLE FUNDS","YOUNGSTOWN","OH","44515","12/09/2015","$500.00","","YE","2015","http://docquery.fec.gov/cgi-bin/fecimg/?201601319005270794","","","","P",
"COMMITTEE TO ELECT FRAN ROLAND KOVALESKI","FEDERALLY PERMISSIBLE FUNDS","JESSUP","PA","18434","12/16/2015","$1,000.00","","YE","2015","http://docquery.fec.gov/cgi-bin/fecimg/?201601319005270782","","","","P",
"COMMITTEE TO ELECT HARRIETTE CHANDLER","FEDERALLY PERMISSIBLE FUNDS","PAXTON","MA","01612","06/11/2015","$1,000.00","","Q2","2015","http://docquery.fec.gov/cgi-bin/fecimg/?201509039001611914","","","","P",
"COMMITTEE TO ELECT JERRY GREENE","FEDERALLY PERMISSIBLE FUNDS","YOUNGSTOWN","OH","44512","12/15/2015","$500.00","","YE","2015","http://docquery.fec.gov/cgi-bin/fecimg/?201601319005270783","","","","P",
"COMMITTEE TO ELECT JOHN SCIBAK","FEDERALLY PERMISSIBLE FUNDS","SOUTH HADLEY","MA","01075","11/25/2015","$1,000.00","","YE","2015","http://docquery.fec.gov/cgi-bin/fecimg/?201601319005270808","","","","P",
"COMMITTEE TO ELECT LINDA D. FORRY","FEDERALLY PERMISSIBLE FUNDS","DORCHESTER","MA","02124","06/15/2015","$1,000.00","","Q2","2015","http://docquery.fec.gov/cgi-bin/fecimg/?201509039001611907","","","","P",
"COMMITTEE TO ELECT LORI EHRLICH","FEDERALLY PERMISSIBLE FUNDS","MARBLEHEAD","MA","01945","06/05/2015","$1,000.00","","Q2","2015","http://docquery.fec.gov/cgi-bin/fecimg/?201509039001611912","","","","P",
"COMMITTEE TO ELECT MARY OLBERDING","FEDERALLY PERMISSIBLE FUNDS","BELCHERTOWN","MA","01007","06/30/2015","$1,000.00","","Q2","2015","http://docquery.fec.gov/cgi-bin/fecimg/?201509039001611914","","","","P",
"COMMITTEE TO ELECT MICHAEL O. MOORE","FEDERALLY PERMISSIBLE FUNDS","MILLBURY","MA","01527","06/04/2015","$100.00","","Q2","2015","http://docquery.fec.gov/cgi-bin/fecimg/?201509039001611925","","","","P",
"COMMITTEE TO ELECT PAT BURKE","FEDERALLY PERMISSIBLE FUNDS","BUFFALO","NY","14240","11/13/2015","$1,000.00","","YE","2015","http://docquery.fec.gov/cgi-bin/fecimg/?201601319005270792","","","","P",
"COMMITTEE TO ELECT PATRICK O'MALLEY COMMISSIONER","FEDERALLY PERMISSIBLE FUNDS","MOOSIC","PA","18507","01/22/2016","$500.00","","M2","2016","http://docquery.fec.gov/cgi-bin/fecimg/?201602209008569188","","","","P",
"COMMITTEE TO ELECT PAUL J. GAINS","FEDERALLY PERMISSIBLE FUNDS","YOUNGSTOWN","OH","44514","11/30/2015","$500.00","","YE","2015","http://docquery.fec.gov/cgi-bin/fecimg/?201601319005270767","","","","P",
"COMMITTEE TO ELECT SAM BATEMAN","FEDERALLY PERMISSIBLE FUNDS","HENDERSON","NV","89052","05/01/2015","$1,000.00","","Q2","2015","http://docquery.fec.gov/cgi-bin/fecimg/?201509039001611919","","","","P",
"COMMITTEE TO ELECT STAN ROSENBERG","FEDERALLY PERMISSIBLE FUNDS","READVILLE","MA","02137","07/27/2015","$1,000.00","","Q3","2015","http://docquery.fec.gov/cgi-bin/fecimg/?201512149004200105","","","","P",
"COMMITTEE TO ELECT STEVEN C. PANAGIOTAKOS","FEDERALLY PERMISSIBLE FUNDS","LOWELL","MA","01851","07/16/2015","$950.00","","Q3","2015","http://docquery.fec.gov/cgi-bin/fecimg/?201512149004200112","","","","P",
"COMMITTEE TO ELECT TRICIA FARLEY-BOUVIER","FEDERALLY PERMISSIBLE FUNDS","PITTSFIELD","MA","01201","10/08/2015","$500.00","","YE","2015","http://docquery.fec.gov/cgi-bin/fecimg/?201601319005270788","","","","P",
"COMMITTEE TO ELECT WALT LEGER III","FEDERALLY PERMISSIBLE FUNDS","NEW ORLEANS","LA","70115","09/24/2015","$1,000.00","","Q3","2015","http://docquery.fec.gov/cgi-bin/fecimg/?201512149004200089","","","","P",
"COMMITTEE TO ELECT WILL BROWNSBERGER","FEDERALLY PERMISSIBLE FUNDS","BELMONT","MA","02478","10/08/2015","$1,000.00","","YE","2015","http://docquery.fec.gov/cgi-bin/fecimg/?201601319005270780","","","","P",
"COMMITTEE TO RE-ELECT ASSEMBLYMAN MORELLE","* IN-KIND: VENUE, FOOD & BEVERAGES; FEDERALLY PERMISSIBLE FUNDS","ROCHESTER","NY","14617","12/21/2015","$474.00","","YE","2015","http://docquery.fec.gov/cgi-bin/fecimg/?201601319005270804","","","","P",
"COMMITTEE TO RE-ELECT HENRY HANK JOHNSON","","DECATUR","GA","30034","01/27/2016","$250.00","","M2","2016","http://docquery.fec.gov/cgi-bin/fecimg/?201602209008569185","18K","C00418293","H6GA04129","P",
"COMMON GROUND PAC","","WILLIAMSBURG","VA","23185","07/13/2015","$5,000.00","","Q3","2015","http://docquery.fec.gov/cgi-bin/fecimg/?201512149004200077","18K","C00538835","","P",
"COMPOSITION ROOFERS LOCAL UNION #30 POLITICAL ACTION & EDUCATION FUND","","PHILADELPHIA","PA","19135","06/26/2015","$1,000.00","","Q2","2015","http://docquery.fec.gov/cgi-bin/fecimg/?201509039001611892","18K","C00125534","","P",
"CONNELL FOLLEY PAC","","ROSELAND","NJ","07068","07/22/2015","$2,700.00","","Q3","2015","http://docquery.fec.gov/cgi-bin/fecimg/?201512149004200113","18K","C00388181","","P",
"COOPER FOR CONGRESS COMMITTEE","","NASHVILLE","TN","37219","04/27/2015","$2,000.00","","Q2","2015","http://docquery.fec.gov/cgi-bin/fecimg/?201509039001611892","18K","C00376665","H2TN05131","P",
"COOPER FOR CONGRESS COMMITTEE","","NASHVILLE","TN","37219","04/27/2015","$700.00","","Q2","2015","http://docquery.fec.gov/cgi-bin/fecimg/?201509039001611915","18K","C00376665","H2TN05131","G",
"CORY PAC, INC.","","NEWARK","NJ","07102","07/08/2015","$5,000.00","","Q3","2015","http://docquery.fec.gov/cgi-bin/fecimg/?201512149004200094","18K","C00497131","","P",
"COSTELLO FOR CONGRESS","","BELLEVILLE","IL","62222","07/06/2015","$2,000.00","","Q3","2015","http://docquery.fec.gov/cgi-bin/fecimg/?201512149004200091","18K","C00238444","H8IL21021","P",
"COURAGE PAC","FEDERALLY PERMISSIBLE FUNDS","COLUMBUS","OH","43215","09/15/2015","$1,000.00","","Q3","2015","http://docquery.fec.gov/cgi-bin/fecimg/?201512149004200103","","","","P",
"COWELL FOR TREASURER","","RALEIGH","NC","27605","01/27/2016","$2,700.00","","M2","2016","http://docquery.fec.gov/cgi-bin/fecimg/?201602209008569194","18K","C00603274","","P",
"COZEN O'CONNOR PAC","","PHILADELPHIA","PA","19103","09/04/2015","$500.00","","Q3","2015","http://docquery.fec.gov/cgi-bin/fecimg/?201512149004200082","18K","C00312777","","P",
"COZEN O'CONNOR PAC","","PHILADELPHIA","PA","19103","07/23/2015","$2,700.00","","Q3","2015","http://docquery.fec.gov/cgi-bin/fecimg/?201512149004200100","18K","C00312777","","P",
"COZEN O'CONNOR POLITICAL ACTION COMMITTEE","","PHILADELPHIA","PA","19103","11/17/2015","$500.00","","YE","2015","http://docquery.fec.gov/cgi-bin/fecimg/?201601319005270780","18K","C00312777","","P",
"COZEN O'CONNOR POLITICAL ACTION COMMITTEE","","PHILADELPHIA","PA","19103","01/26/2016","$1,000.00","","M2","2016","http://docquery.fec.gov/cgi-bin/fecimg/?201602209008569197","18K","C00312777","","P",
"CROWLEY FOR CONGRESS","","ELMHURST","NY","11373","06/04/2015","$2,000.00","","Q2","2015","http://docquery.fec.gov/cgi-bin/fecimg/?201509039001611905","18K","C00338954","H8NY07046","P",
"CROWLEY MARITIME CORPORATION FEDERAL PAC","","JACKSONVILLE","FL","32225","09/14/2015","$5,000.00","","Q3","2015","http://docquery.fec.gov/cgi-bin/fecimg/?201512149004200079","18K","C00147231","","P",
"DAKOTA PRAIRIE PAC","","WASHINGTON","DC","20003","07/20/2015","$5,000.00","","Q3","2015","http://docquery.fec.gov/cgi-bin/fecimg/?201512149004200102","18K","C00536607","","P",
"DAS WILLIAMS FOR SENATE 2020","FEDERALLY PERMISSIBLE FUNDS","SACRAMENTO","CA","95815","12/03/2015","$500.00","","YE","2015","http://docquery.fec.gov/cgi-bin/fecimg/?201601319005270768","","","","P",
"DAVID WEPRIN FOR CONGRESS","","HOLLIS","NY","11423","10/29/2015","$700.00","","YE","2015","http://docquery.fec.gov/cgi-bin/fecimg/?201601319005270772","18K","C00499103","H2NY09086","P",
"DAVID WEPRIN FOR CONGRESS","","HOLLIS","NY","11423","10/29/2015","$2,000.00","","YE","2015","http://docquery.fec.gov/cgi-bin/fecimg/?201601319005270784","18K","C00499103","H2NY09086","P",
"DELAWARE NORTH COMPANIES, INC. PAC","","BUFFALO","NY","14202","11/13/2015","$2,700.00","","YE","2015","http://docquery.fec.gov/cgi-bin/fecimg/?201601319005270789","18K","C00532887","","P",
"DEMOCRATS TIME IN NEVADA","","HENDERSON","NV","89016","05/19/2015","$1,000.00","","Q2","2015","http://docquery.fec.gov/cgi-bin/fecimg/?201509039001611904","18K","C00450577","H8NV03036","P",
"DICKENS FOR NEW YORK","FEDERALLY PERMISSIBLE FUNDS","NEW YORK","NY","10027","12/14/2015","$250.00","","YE","2015","http://docquery.fec.gov/cgi-bin/fecimg/?201601319005270791","","","","P",
"DOUGH PAC","FEDERALLY PERMISSIBLE FUNDS","WHARTON","NJ","07885","11/11/2015","$1,000.00","","YE","2015","http://docquery.fec.gov/cgi-bin/fecimg/?201601319005270786","","","","P",
"DOW PAC","","MIDLAND","MI","48674","09/17/2015","$5,000.00","","Q3","2015","http://docquery.fec.gov/cgi-bin/fecimg/?201512149004200089","18K","C00074096","","G",
"DR. RICHARD PAN FOR SENATE 2018","FEDERALLY PERMISSIBLE FUNDS","SACRAMENTO","CA","95815","11/12/2015","$1,000.00","","YE","2015","http://docquery.fec.gov/cgi-bin/fecimg/?201601319005270803","","","","P",
"DUANE MORRIS GOVERNMENT COMMITTEE","","PHILADELPHIA","PA","19103","06/10/2015","$5,000.00","","Q2","2015","http://docquery.fec.gov/cgi-bin/fecimg/?201509039001611898","18K","C00364133","","P",
